,ABE,ABI,ABQ,ABR,ABY,ACK,ACT,ACV,ACY,ADK,ADQ,AEX,AGS,AIA,AKN,ALB,ALO,ALS,ALW,AMA,ANC,AOO,APN,ART,ASE,ATL,ATW,ATY,AUG,AUS,AVL,AVP,AZA,AZO,BDL,BET,BFD,BFF,BFL,BFM,BGM,BGR,BHB,BHM,BIL,BIS,BJI,BKG,BKW,BLI,BLV,BMI,BNA,BOI,BOS,BPT,BQK,BQN,BRD,BRO,BRW,BTM,BTR,BTV,BUF,BUR,BWI,BZN,CAE,CAK,CDB,CDC,CDR,CDV,CEC,CEZ,CGI,CHA,CHO,CHS,CID,CIU,CKB,CLE,CLL,CLT,CMH,CMI,CMX,CNM,CNY,COD,COS,COU,CPR,CPX,CRP,CRW,CSG,CVG,CVN,CWA,CYF,CYS,DAB,DAL,DAY,DBQ,DCA,DDC,DEC,DEN,DFW,DHN,DIK,DLG,DLH,DRO,DRT,DSM,DTW,DUJ,DUT,DVL,EAR,EAT,EAU,ECP,EGE,EKO,ELD,ELM,ELP,ENA,ERI,ESC,EUG,EVV,EWN,EWR,EYW,FAI,FAR,FAT,FAY,FCA,FKL,FLG,FLL,FLO,FNT,FSD,FSM,FWA,GAL,GCC,GCK,GDV,GEG,GFK,GGG,GGW,GJT,GLH,GNV,GPT,GRB,GRI,GRK,GRR,GSO,GSP,GTF,GTR,GUC,GUM,HDN,HGR,HHH,HIB,HLN,HNL,HNM,HOB,HOM,HOT,HOU,HPN,HRL,HRO,HSV,HTS,HVN,HVR,HYA,HYS,IAD,IAG,IAH,ICT,IDA,ILM,IMT,IND,INL,IPL,IPT,IRK,ISN,ISP,ITH,ITO,JAC,JAN,JAX,JFK,JHM,JLN,JMS,JNU,JST,KOA,KTN,LAN,LAR,LAS,LAW,LAX,LBB,LBE,LBF,LBL,LCH,LCK,LEB,LEX,LFT,LGA,LGB,LIH,LIT,LNK,LNS,LNY,LRD,LSE,LWB,LWS,LYH,MAF,MAZ,MBS,MCE,MCI,MCK,MCO,MDT,MDW,MEI,MEM,MFE,MFR,MGM,MGW,MHK,MHT,MIA,MKE,MKG,MKK,MKT,MLB,MLI,MLU,MMH,MOB,MOT,MQT,MRY,MSL,MSN,MSO,MSP,MSS,MSY,MTJ,MVY,MWA,MYR,OAJ,OAK,OGD,OGG,OGS,OKC,OLF,OMA,OME,ONT,OOK,ORD,ORF,ORH,OTH,OTZ,OWB,PAE,PAH,PBG,PBI,PDT,PDX,PGA,PGD,PGV,PHF,PHL,PHX,PIA,PIB,PIE,PIH,PIR,PIT,PKB,PLN,PNS,PPG,PQI,PRC,PSC,PSE,PSG,PSM,PSP,PUB,PUW,PVC,PVD,PVU,PWM,RAP,RDD,RDM,RDU,RFD,RHI,RIC,RIW,RKD,RKS,RNO,ROA,ROC,ROW,RST,RSW,RUT,SAF,SAN,SAT,SAV,SBA,SBN,SBP,SBY,SCC,SCE,SCK,SDF,SDP,SDY,SEA,SFB,SFO,SGF,SGU,SHD,SHH,SHR,SHV,SIT,SJC,SJT,SJU,SLC,SLK,SLN,SMF,SMX,SNA,SOW,SPI,SPN,SPS,SRQ,STC,STL,STS,STT,STX,SUN,SUX,SWF,SWO,SYR,TBN,TEX,TLH,TOL,TPA,TRI,TTN,TUL,TUP,TUS,TVC,TVF,TWF,TXK,TYR,TYS,UIN,USA,VCT,VDZ,VEL,VLD,VPS,VQS,WRG,WYS,XNA,XWA,YAK,YKM,YUM,GST,IWD,MCN
HVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,14,2,0,0,0,0,0,1,0,0,0,1,1,0,5,0,0,0,0,0,0,4,0,2,0,0,4,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,14,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0,13,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,7,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,1,0,0,0,7,0,0,4,0,5,0,0,0,1,0,0,0,4,0,0,1,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAD,0,6,76,5,5,13,3,16,0,0,4,12,26,0,0,86,0,1,0,19,101,0,0,0,26,1154,18,0,0,337,81,0,0,3,145,1,0,2,6,0,0,64,0,53,39,15,4,0,0,2,0,3,293,105,399,0,5,0,2,8,0,2,26,85,97,25,0,107,71,0,0,0,1,0,0,0,0,17,1,344,26,3,0,151,6,297,203,1,1,0,3,17,90,13,17,0,18,2,7,223,0,7,0,0,31,43,69,0,0,0,1,2180,689,2,5,0,23,13,4,34,434,0,0,3,2,6,0,34,6,0,0,0,72,0,0,0,49,12,2,83,40,19,24,60,8,81,0,5,515,5,9,31,3,8,0,3,2,0,128,3,0,0,21,0,14,23,28,1,26,48,52,170,18,5,9,12,10,0,15,3,11,97,0,1,0,0,45,0,7,0,153,0,0,0,0,2,0,0,762,35,29,44,1,347,1,0,0,0,0,0,0,2,136,21,369,142,0,2,0,16,0,7,0,6,6,351,3,1807,13,0,1,1,6,0,0,23,9,107,1,2,42,10,0,0,11,4,1,7,0,15,0,10,0,207,0,875,4,6,2,70,16,26,8,0,3,0,67,55,3,0,0,31,17,11,0,25,8,2,13,0,35,51,524,0,175,9,0,1,21,2,45,0,9,4,96,0,74,0,96,0,644,26,0,11,0,1,2,4,7,197,0,288,0,0,3,0,11,346,4,0,0,1,2,74,0,4,49,0,12,3,25,0,0,0,29,2,3,0,149,0,173,44,8,28,137,0,2,10,6,0,5,133,5,73,2,1,378,0,11,676,298,176,28,20,30,0,0,14,0,196,0,0,1215,0,1349,36,13,0,0,6,27,3,100,8,60,386,0,2,191,0,144,0,2,2,0,40,0,253,4,43,1,9,0,0,0,91,0,0,5,2,619,2,0,45,1,110,26,1,1,1,3,110,0,0,0,0,4,5,52,0,0,3,20,6,1,2,5,0,0,0
IAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH,20,19,241,14,1,14,0,16,8,0,1,7,66,4,1,63,0,6,6,151,312,0,4,3,253,2765,58,2,0,67,56,43,0,8,129,1,0,5,71,0,0,78,2,331,130,78,11,0,0,8,0,8,525,191,1168,0,3,0,9,103,1,7,91,39,85,37,1103,278,141,35,0,1,0,0,0,3,2,44,50,334,93,9,3,628,3,1138,456,12,7,2,13,21,221,16,48,0,46,54,3,570,0,26,0,0,20,0,84,5,618,3,1,5522,629,0,21,0,27,127,2,175,2107,0,0,2,5,2,8,266,83,7,0,16,332,0,22,8,92,35,25,2860,80,48,68,150,47,216,0,22,2338,12,39,79,6,54,0,19,4,0,228,12,0,0,31,0,28,73,73,14,7,182,96,242,33,5,93,14,65,0,20,3,22,113,0,34,0,0,0,0,78,0,165,14,1,0,0,4,748,0,0,204,78,92,10,493,3,0,8,0,0,0,12,4,328,138,411,258,0,4,4,11,0,10,7,17,6,3549,4,5840,309,1,5,3,7,0,1,68,33,926,8,6,281,11,0,0,35,20,7,11,15,554,2,29,0,486,0,1913,73,0,1,567,159,89,12,0,10,24,2426,167,8,0,0,14,53,18,0,146,40,12,32,0,101,97,986,1,669,141,5,0,94,49,549,0,9,1,375,0,257,2,232,0,4114,271,0,13,2,0,4,4,6,52,1,740,0,0,7,30,1071,973,25,1,0,8,5,620,1,25,305,0,4,5,53,0,1,0,55,3,2,0,81,0,115,145,16,54,621,0,15,189,4,0,8,244,52,75,10,13,264,0,18,1313,81,254,52,61,52,11,1,30,0,221,0,0,1607,0,1397,37,32,5,0,11,27,9,102,7,503,1516,0,2,440,0,635,0,11,2,3,29,0,503,13,171,90,18,1,0,3,112,0,11,50,9,1017,36,0,407,0,202,128,0,4,1,0,277,2,0,0,0,4,8,213,0,0,3,163,37,0,3,14,0,0,0
ICT,4,6,23,0,3,1,1,2,0,0,0,5,16,0,0,10,0,0,3,0,45,0,0,0,7,273,7,0,0,56,6,4,190,7,23,1,0,0,17,0,0,8,0,23,15,2,0,0,0,0,0,1,95,48,84,3,3,0,1,7,1,0,18,4,10,38,75,21,27,5,0,0,0,0,0,0,0,14,5,28,3,1,0,55,6,115,46,0,0,0,2,3,4,0,0,0,29,5,1,50,0,4,0,0,7,0,24,1,92,0,0,372,212,2,0,0,6,6,2,4,87,0,0,0,0,1,0,23,5,0,0,1,33,0,2,0,25,3,3,40,7,2,9,24,8,30,0,5,63,1,13,3,2,12,0,0,0,0,57,1,1,0,9,0,6,16,13,0,4,36,19,36,11,1,0,0,4,0,2,0,1,9,0,0,0,0,46,1,7,0,13,2,0,0,0,0,39,0,199,0,12,21,0,61,0,0,0,0,0,0,0,0,22,9,72,13,0,0,2,1,1,0,5,2,1,495,0,270,1,0,0,0,8,0,0,9,14,69,0,1,15,0,0,0,4,3,0,0,2,13,0,2,0,0,0,157,22,39,0,27,6,14,5,0,0,5,59,32,0,0,0,8,2,5,0,18,7,1,4,0,19,22,119,0,54,7,0,0,26,5,23,0,2,0,0,0,0,0,85,0,217,58,0,0,0,0,2,0,0,33,0,144,0,0,0,3,88,270,4,3,0,0,0,60,0,1,36,0,1,0,7,0,0,0,24,0,1,0,13,0,19,16,0,11,124,0,1,27,2,0,1,35,8,5,1,5,53,0,2,141,62,50,14,10,5,1,0,7,0,39,0,0,392,53,80,0,1,0,0,1,8,2,44,4,20,140,0,0,120,0,69,0,1,0,0,19,0,246,0,2,1,0,0,1,0,7,0,0,1,2,124,7,0,0,0,41,8,0,0,0,1,27,0,0,0,0,0,8,242,0,0,0,0,0,1,1,1,1,0,0
IDA,0,0,13,0,0,0,0,0,0,0,0,1,2,0,0,3,0,1,0,7,22,0,0,0,1,61,0,0,0,22,3,1,428,0,4,0,0,1,4,0,0,2,0,16,0,0,0,0,0,1,0,0,42,0,21,0,0,0,0,0,0,0,2,2,4,3,18,0,2,0,0,0,0,0,0,0,0,4,1,3,12,0,0,16,1,26,17,0,0,0,0,0,10,0,1,0,2,0,0,29,0,2,0,0,1,0,2,0,27,1,1,125,62,0,0,0,2,1,0,2,26,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,4,1,0,14,2,2,9,22,2,0,0,2,5,0,1,12,0,2,0,0,0,0,17,0,0,0,0,0,0,3,5,0,0,5,1,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,32,0,83,12,0,5,0,25,0,0,0,0,0,0,0,0,0,1,2,9,0,0,0,0,0,1,1,0,0,266,0,44,4,0,1,1,1,0,0,2,1,7,7,0,9,2,0,0,0,0,1,9,0,9,0,1,0,29,0,43,7,0,1,6,2,0,0,0,0,0,2,7,0,0,0,0,1,0,0,1,2,0,1,0,11,0,46,0,8,0,0,1,2,0,113,0,0,0,16,0,15,0,20,0,29,12,0,0,0,0,0,0,0,1,0,58,0,0,0,0,16,51,0,1,0,0,0,22,0,0,4,0,0,0,14,0,0,0,4,1,0,0,0,0,0,4,0,2,11,0,0,6,0,0,0,10,4,0,0,1,4,0,1,134,25,4,2,0,8,0,0,1,0,3,0,0,63,0,20,12,15,0,0,0,0,0,21,0,0,18,0,0,31,0,32,0,0,0,0,1,0,22,0,0,0,0,0,0,0,2,0,0,1,0,23,0,0,15,0,6,3,1,0,0,0,25,0,0,1,0,0,0,2,0,0,0,5,2,0,0,0,0,0,0
ILM,13,4,21,0,1,5,3,1,0,0,0,6,4,0,0,24,0,0,0,6,16,1,0,2,6,178,9,0,1,93,10,6,0,2,57,0,0,0,4,0,0,13,0,21,4,7,0,0,0,0,0,7,120,12,138,3,0,0,0,4,0,0,14,19,28,14,48,20,1,41,0,0,0,0,0,0,0,10,5,0,33,0,1,87,0,17,96,9,2,0,0,0,28,2,1,0,5,4,0,74,1,8,0,0,8,4,33,0,11,0,0,210,225,0,0,0,4,5,0,36,85,0,0,0,0,0,0,12,4,1,0,0,18,0,8,0,3,11,0,116,23,3,10,11,0,7,0,7,61,0,5,11,4,14,0,0,3,0,9,0,0,0,7,0,6,8,5,3,6,48,2,6,1,2,0,0,0,0,1,2,1,16,0,0,0,0,27,1,3,0,14,1,5,0,0,0,44,0,80,20,4,0,0,107,1,0,2,0,0,1,2,0,8,9,25,32,0,1,0,0,0,0,0,1,0,84,1,166,4,0,0,0,5,0,1,21,6,75,2,1,15,0,0,0,1,1,0,1,1,9,0,0,0,89,0,72,22,1,0,36,2,6,7,0,0,28,63,52,0,0,0,9,13,5,0,4,1,3,2,0,27,7,130,0,64,2,2,0,0,0,0,0,0,0,26,0,45,0,22,0,150,1,0,0,0,0,0,0,1,43,0,66,0,0,0,0,81,111,14,0,0,0,0,144,0,0,18,0,0,0,2,0,0,0,11,0,0,0,55,0,53,18,0,1,0,0,1,1,0,0,0,18,2,14,1,2,29,0,2,132,50,7,6,8,3,5,0,5,0,52,0,0,73,0,110,18,0,0,0,0,8,0,20,6,1,108,0,0,41,0,41,0,1,0,1,28,0,100,2,2,1,0,0,1,2,24,0,0,7,3,90,3,0,33,0,18,10,0,0,1,2,14,0,0,0,0,0,0,11,0,0,0,22,0,0,0,1,0,0,0
IMT,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,11,6,0,0,0,0,0,0,0,56,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,31,10,101,2,3,4,6,8,0,0,0,10,38,0,0,57,1,0,2,34,106,0,3,2,29,1697,7,1,0,489,31,21,0,3,148,1,0,1,26,0,0,25,0,54,46,26,10,0,0,1,0,0,17,148,392,3,8,0,6,7,0,0,33,22,35,200,720,148,62,0,0,1,0,0,0,0,0,25,26,286,4,0,0,22,10,567,3,0,2,0,7,18,60,0,10,0,26,3,6,0,0,10,0,0,75,381,0,0,424,0,0,2802,1029,6,3,1,19,28,1,51,107,0,0,0,2,3,2,152,6,0,0,5,114,0,0,0,44,0,17,579,118,26,35,103,38,85,0,16,809,8,0,48,2,0,0,7,6,0,166,6,4,0,23,0,34,40,16,2,28,10,72,103,20,4,5,1,5,0,68,2,6,51,0,1,0,0,487,4,26,0,7,0,7,0,0,0,338,0,477,71,23,103,4,0,3,0,6,0,0,21,7,0,111,36,423,53,0,3,1,2,0,3,3,3,0,2472,4,904,38,0,2,1,9,0,0,0,25,529,27,1,50,17,0,0,9,8,1,8,18,40,0,2,0,90,0,2836,65,15,1,68,33,45,12,0,8,88,515,18,0,0,0,38,4,17,0,44,16,4,14,0,22,40,414,0,261,14,2,0,271,33,162,0,5,0,140,0,99,1,308,0,202,224,2,5,0,0,1,0,1,242,0,424,0,509,5,13,480,1439,0,0,855,2,1,41,0,5,178,0,1,1,29,0,0,0,55,2,2,0,109,0,116,50,2,23,349,0,7,108,1,0,5,176,15,32,3,21,980,2,1,610,291,243,25,0,24,17,0,5,0,0,0,1,785,509,573,14,24,0,0,2,35,0,203,5,136,492,0,0,381,0,346,1,0,1,3,533,0,33,5,49,12,2,4,5,3,39,0,0,32,1,1592,10,0,96,0,132,17,0,5,5,9,20,0,0,2,0,1,4,213,0,1,4,24,2,0,0,7,0,1,0
INL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,11,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,24,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
